Year,Month,Sector,New,Renewal,Issued,Refused,Withdrawn
2011,Apr,Entertainment,3,0,3,2,0
2011,Apr,Exchange Agreements,1,0,1,0,0
2011,Apr,Industry,33,16,49,3,2
2011,Apr,Medical & Nursing,43,52,95,7,1
2011,Apr,Service Industry,115,78,193,34,8
2011,Apr,Sport,4,2,6,1,1
2011,May,Agriculture & Fisheries,17,16,33,6,2
2011,May,Catering,43,42,85,39,6
2011,May,Domestic,7,6,13,2,0
2011,May,Education,5,11,16,2,0
2011,May,Entertainment,1,1,2,1,0
2011,May,Exchange Agreements,9,0,9,0,0
2011,May,Industry,36,25,61,6,1
2011,May,Medical & Nursing,77,132,209,24,13
2011,May,Service Industry,181,134,315,44,5
2011,May,Sport,4,3,7,2,0
2011,Jun,Agriculture & Fisheries,8,18,26,13,0
2011,Jun,Catering,29,36,65,33,4
2011,Jun,Domestic,2,4,6,3,0
2011,Jun,Education,3,3,6,1,0
2011,Jun,Industry,70,21,91,12,2
2011,Jun,Medical & Nursing,65,91,156,22,19
2011,Jun,Service Industry,166,113,279,45,13
2011,Jun,Sport,7,3,10,0,0
2011,Jul,Agriculture & Fisheries,6,13,19,6,1
2011,Jul,Catering,28,21,49,15,2
2011,Jul,Domestic,3,4,7,0,0
2011,Jul,Education,5,5,10,3,0
2011,Jul,Entertainment,2,0,2,2,0
2011,Jul,Industry,33,10,43,3,0
2011,Jul,Medical & Nursing,31,33,64,15,7
2011,Jul,Service Industry,108,46,154,48,7
2011,Jul,Sport,4,1,5,0,1
2011,Aug,Agriculture & Fisheries,7,13,20,4,1
2011,Aug,Catering,12,20,32,22,1
2011,Aug,Domestic,1,1,2,3,1
2011,Aug,Education,10,5,15,0,0
2011,Aug,Entertainment,2,0,2,1,0
2011,Aug,Exchange Agreements,2,0,2,0,0
2011,Aug,Industry,56,8,64,9,4
2011,Aug,Medical & Nursing,103,42,145,5,4
2011,Aug,Service Industry,140,57,197,33,2
2011,Aug,Sport,4,1,5,2,0
2011,Sep,Agriculture & Fisheries,2,9,11,5,0
2011,Sep,Catering,18,19,37,18,0
2011,Sep,Domestic,1,0,1,2,0
2011,Sep,Education,8,3,11,0,0
2011,Sep,Entertainment,3,1,4,1,0
2011,Sep,Industry,37,9,46,12,2
2011,Sep,Medical & Nursing,79,47,126,9,2
2011,Sep,Service Industry,138,55,193,44,4
2011,Sep,Sport,5,0,5,1,0
2011,Oct,Agriculture & Fisheries,3,9,12,3,0
2011,Oct,Catering,11,18,29,25,1
2011,Oct,Domestic,1,1,2,1,0
2011,Oct,Education,5,5,10,2,0
2011,Oct,Entertainment,6,0,6,2,0
2011,Oct,Exchange Agreements,0,1,1,0,0
2011,Oct,Industry,35,4,39,9,1
2011,Oct,Medical & Nursing,53,32,85,14,1
2011,Oct,Service Industry,108,50,158,22,18
2011,Oct,Sport,2,1,3,0,2
2011,Nov,Agriculture & Fisheries,5,12,17,5,1
2011,Nov,Catering,13,17,30,30,3
2011,Nov,Domestic,2,2,4,2,0
2011,Nov,Education,0,0,0,2,0
2011,Nov,Entertainment,0,0,0,1,0
2011,Nov,Exchange Agreements,7,0,7,0,0
2011,Nov,Industry,35,7,42,12,3
2011,Nov,Medical & Nursing,35,36,71,16,5
2011,Nov,Service Industry,93,45,138,47,6
2011,Nov,Sport,3,2,5,0,0
2011,Dec,Agriculture & Fisheries,7,3,10,4,1
2011,Dec,Catering,20,10,30,17,0
2011,Dec,Domestic,1,1,2,0,0
2011,Dec,Education,8,4,12,0,0
2011,Dec,Industry,42,8,50,11,0
2011,Dec,Medical & Nursing,26,16,42,7,2
2011,Dec,Service Industry,104,38,142,39,6
2011,Dec,Sport,1,0,1,0,0
2012,Jan,Agriculture & Fisheries,7,10,17,3,0
2012,Jan,Catering,26,11,37,22,1
2012,Jan,Domestic,0,1,1,1,0
2012,Jan,Education,8,3,11,0,0
2012,Jan,Entertainment,6,0,6,0,0
2012,Jan,Industry,35,4,39,9,4
2012,Jan,Medical & Nursing,58,21,79,12,0
